Gene	Safety_Score (0-28)	Safety_Profile_Assessment	Tissue_with_Safety_Concern
TBC1D30	23	good	Bladder:Pancreas:Pituitary:Salivary_Gland:Stomach
SLCO1B3	27	very good	Liver
CLEC4A	24	good	Blood:Lung:Nerve:Spleen
RAB35	0	not good	many tissues
KLRB1	25	very good	Blood:Small_Intestine:Spleen
BTN3A3	1	not good	many tissues
GABRR2	28	very good	many tissues
SERINC1	0	not good	many tissues
UST	9	not good	many tissues
ULBP1	28	very good	many tissues
OPRM1	28	very good	many tissues
TULP1	28	very good	many tissues
SLC26A8	27	very good	Blood
RHAG	28	very good	many tissues
MDGA1	19	not good	many tissues
CD83	16	not good	many tissues
GLP1R	28	very good	many tissues
CAP2	12	not good	many tissues
TREML2	26	very good	Blood:Spleen
RAB23	14	not good	many tissues
GPR63	28	very good	many tissues
BVES	21	good	Bladder:Blood_Vessel:Colon:Esophagus:Heart:Muscle:Stomach
VNN1	24	good	Blood:Liver:Small_Intestine:Spleen
VNN2	25	very good	Blood:Lung:Spleen
SMAP1	0	not good	many tissues
SLC16A10	24	good	Adrenal_Gland:Muscle:Pancreas:Skin
ADGRG6	20	not good	many tissues
OR12D3	28	very good	many tissues
CCR6	27	very good	Spleen
UNC93A	27	very good	Skin
SLC22A2	27	very good	Kidney
PRPH2	28	very good	many tissues
PTK7	8	not good	many tissues
TMEM30A	0	not good	many tissues
SLC29A1	0	not good	many tissues
BTN2A1	0	not good	many tissues
ENPP5	19	not good	many tissues
MEP1A	27	very good	Small_Intestine
ERBB2IP	0	not good	many tissues
PCDHB2	28	very good	many tissues
SEMA5A	25	very good	Bladder:Cervix_Uteri:Nerve
GHR	19	not good	many tissues
HBEGF	5	not good	many tissues
CDH9	28	very good	many tissues
PCDHB3	28	very good	many tissues
PCDHB5	27	very good	Ovary
PCDHB6	28	very good	many tissues
PCDHB7	28	very good	many tissues
PCDHB15	25	very good	Cervix_Uteri:Ovary:Uterus
HAVCR1	28	very good	many tissues
GRM6	28	very good	many tissues
BTNL8	26	very good	Blood:Small_Intestine
GABRG2	26	very good	Brain:Pituitary
CDH6	25	very good	Blood_Vessel:Kidney:Nerve
NPR3	22	good	Adipose_Tissue:Blood_Vessel:Heart:Kidney:Lung:Thyroid
LNPEP	4	not good	many tissues
PRLR	25	very good	Adrenal_Gland:Cervix_Uteri:Uterus
SLC12A7	0	not good	many tissues
ST8SIA4	26	very good	Blood:Spleen
PCDH12	25	very good	Lung:Spleen:Thyroid
LIFR	2	not good	many tissues
TXNDC15	0	not good	many tissues
PDGFRB	1	not good	many tissues
HRH2	25	very good	Blood:Heart:Stomach
UNC5A	26	very good	Brain:Pituitary
CNTN3	25	very good	Bladder:Liver:Pituitary:Prostate
CLDN16	27	very good	Kidney
ARL6	26	very good	Brain:Pituitary
CD86	25	very good	Blood:Lung:Spleen
GNAI2	0	not good	many tissues
HHLA2	27	very good	Small_Intestine
SLC41A3	0	not good	many tissues
PLXNA1	2	not good	many tissues
PODXL2	17	not good	many tissues
UPK1B	27	very good	Bladder
CSPG5	27	very good	Brain
PLSCR4	1	not good	many tissues
ACVR2B	28	very good	many tissues
ABCC5	0	not good	many tissues
VIPR1	11	not good	many tissues
NKTR	0	not good	many tissues
CLCN2	15	not good	many tissues
ADAM23	23	good	Adrenal_Gland:Brain:Heart:Nerve:Pituitary
STEAP3	9	not good	many tissues
ACVR1	1	not good	many tissues
ITGB6	20	not good	many tissues
FNDC4	6	not good	many tissues
ITGA4	24	good	Blood:Lung:Small_Intestine:Spleen
RTN4	0	not good	many tissues
TACR1	27	very good	Cervix_Uteri
EVA1A	22	good	Cervix_Uteri:Kidney:Liver:Lung:Pancreas:Spleen
GGCX	0	not good	many tissues
ST3GAL5	1	not good	many tissues
IL1R2	14	not good	many tissues
IL1R1	1	not good	many tissues
IL1RL2	27	very good	Skin
IL1RL1	20	not good	many tissues
IL18R1	22	good	Adipose_Tissue:Blood:Liver:Lung:Small_Intestine:Spleen
IL18RAP	24	good	Blood:Lung:Small_Intestine:Spleen
SLC9A2	27	very good	Stomach
ABCB6	0	not good	many tissues
SLC5A7	28	very good	many tissues
TPO	20	not good	many tissues
LCT	28	very good	many tissues
SDC1	12	not good	many tissues
SLC1A4	9	not good	many tissues
AAK1	1	not good	many tissues
KISS1R	28	very good	many tissues
CD207	27	very good	Skin
GRIN3B	28	very good	many tissues
EPHA4	14	not good	many tissues
TPSG1	27	very good	Small_Intestine
KIAA1324	19	not good	many tissues
OPRD1	28	very good	many tissues
KCNC4	22	good	Blood_Vessel:Brain:Cervix_Uteri:Kidney:Pancreas:Pituitary
LEPR	13	not good	many tissues
RGS2	0	not good	many tissues
CD58	2	not good	many tissues
CD2	24	good	Blood:Lung:Small_Intestine:Spleen
OSCP1	5	not good	many tissues
ZP4	28	very good	many tissues
KCNQ4	21	good	Bladder:Blood_Vessel:Colon:Esophagus:Fallopian_Tube:Muscle:Uterus
SLAMF1	28	very good	many tissues
CD48	23	good	Adipose_Tissue:Blood:Lung:Small_Intestine:Spleen
ADGRL2	2	not good	many tissues
CD160	27	very good	Spleen
ECE1	0	not good	many tissues
CR2	27	very good	Spleen
CD46	0	not good	many tissues
SLC2A1	2	not good	many tissues
MPL	28	very good	many tissues
PTCH2	23	good	Brain:Nerve:Ovary:Pituitary:Uterus
TSPAN1	12	not good	many tissues
SLC19A2	3	not good	many tissues
F3	3	not good	many tissues
FASLG	28	very good	many tissues
TNFSF4	28	very good	many tissues
HSD11B1	16	not good	many tissues
LPPR5	28	very good	many tissues
LPPR4	25	very good	Bladder:Brain:Pituitary
SLC5A9	24	good	Kidney:Liver:Pancreas:Small_Intestine
ESYT2	0	not good	many tissues
CHRNB4	28	very good	many tissues
SLC8A2	24	good	Brain:Colon:Pituitary:Uterus
NRP2	6	not good	many tissues
CA14	26	very good	Brain:Heart
CNR1	18	not good	many tissues
SPACA1	28	very good	many tissues
SLC16A7	23	good	Adipose_Tissue:Adrenal_Gland:Heart:Pancreas:Stomach
TMEM5	1	not good	many tissues
VAMP8	0	not good	many tissues
PKD2	1	not good	many tissues
ABCG2	22	good	Brain:Cervix_Uteri:Fallopian_Tube:Pituitary:Small_Intestine:Uterus
MFSD1	0	not good	many tissues
PCDH17	26	very good	Lung:Spleen
TJP2	2	not good	many tissues
SLC46A2	26	very good	Bladder:Skin
MAPKAP1	0	not good	many tissues
CSF3R	4	not good	many tissues
FLVCR2	17	not good	many tissues
GPR68	27	very good	Pituitary
GPR75	28	very good	many tissues
EPCAM	14	not good	many tissues
SLC17A5	3	not good	many tissues
TECTB	28	very good	many tissues
CNNM1	27	very good	Brain
PRLHR	28	very good	many tissues
TCTN3	0	not good	many tissues
CRHR1	26	very good	Brain:Pituitary
TEK	16	not good	many tissues
EQTN	28	very good	many tissues
CD274	24	good	Blood:Heart:Lung:Spleen
GRIA2	24	good	Brain:Fallopian_Tube:Pituitary:Uterus
LRP11	3	not good	many tissues
PCDHB8	28	very good	many tissues
PCDHB10	28	very good	many tissues
PCDHB14	24	good	Blood_Vessel:Cervix_Uteri:Pituitary:Uterus
PCDHB12	28	very good	many tissues
TNFSF18	28	very good	many tissues
GPR31	28	very good	many tissues
PLXDC2	7	not good	many tissues
ENOX1	25	very good	Brain:Colon:Ovary
TNFSF11	28	very good	many tissues
TNFRSF10B	0	not good	many tissues
PTK2B	1	not good	many tissues
CHRNA2	28	very good	many tissues
ADRA1A	27	very good	Liver
TNFRSF8	26	very good	Adipose_Tissue:Blood
KIAA0922	6	not good	many tissues
ABCC11	28	very good	many tissues
ADCY7	13	not good	many tissues
TAS2R8	28	very good	many tissues
TAS2R10	28	very good	many tissues
TAS2R7	28	very good	many tissues
TAS2R9	28	very good	many tissues
POPDC2	13	not good	many tissues
CD80	28	very good	many tissues
GJA8	28	very good	many tissues
PILRB	0	not good	many tissues
GJB6	25	very good	Brain:Skin:Vagina
GJA3	28	very good	many tissues
ADGRB2	24	good	Brain:Heart:Pituitary:Thyroid
HCRTR1	28	very good	many tissues
CCRL2	22	good	Adipose_Tissue:Blood:Breast:Lung:Small_Intestine:Spleen
CCR2	26	very good	Blood:Spleen
GHSR	28	very good	many tissues
TNFSF10	1	not good	many tissues
SLITRK3	27	very good	Fallopian_Tube
TMEM156	27	very good	Spleen
CSMD2	28	very good	many tissues
ADORA3	25	very good	Adrenal_Gland:Blood:Spleen
CXCR4	1	not good	many tissues
ACVR2A	9	not good	many tissues
SV2C	28	very good	many tissues
FLT3	28	very good	many tissues
XPNPEP2	23	good	Adipose_Tissue:Bladder:Kidney:Liver:Small_Intestine
LAX1	28	very good	many tissues
CD244	26	very good	Blood:Spleen
LY9	26	very good	Blood:Spleen
OPN4	28	very good	many tissues
PTGFR	24	good	Adipose_Tissue:Bladder:Nerve:Uterus
BBS9	7	not good	many tissues
FAM126A	9	not good	many tissues
ARL4A	0	not good	many tissues
RAMP3	2	not good	many tissues
RECK	9	not good	many tissues
CNTFR	9	not good	many tissues
KIAA1549	28	very good	many tissues
CHST3	7	not good	many tissues
SSPN	8	not good	many tissues
WWP1	0	not good	many tissues
PKN1	0	not good	many tissues
ADGRE5	1	not good	many tissues
ATP7B	27	very good	Liver
NCKAP1L	16	not good	many tissues
LRP1	0	not good	many tissues
IL13RA2	27	very good	Pituitary
PLP1	17	not good	many tissues
ACVR1C	27	very good	Adipose_Tissue
SLC36A1	17	not good	many tissues
KCNJ2	26	very good	Blood:Spleen
GPR83	28	very good	many tissues
SLC12A4	0	not good	many tissues
MC3R	28	very good	many tissues
PREX1	3	not good	many tissues
KCNS1	28	very good	many tissues
SLC12A5	25	very good	Adrenal_Gland:Brain:Pituitary
SDC4	1	not good	many tissues
PARD6B	27	very good	Kidney
CDH26	28	very good	many tissues
PMEPA1	2	not good	many tissues
VAMP7	0	not good	many tissues
IL9R	28	very good	many tissues
XG	21	good	Adipose_Tissue:Blood_Vessel:Breast:Cervix_Uteri:Salivary_Gland:Skin:Vagina
STAMBP	0	not good	many tissues
ATP8A1	11	not good	many tissues
LYPD3	22	good	Bladder:Breast:Ovary:Prostate:Salivary_Gland:Skin:Vagina
CEACAM8	27	very good	Blood
GRM4	28	very good	many tissues
BTN2A2	5	not good	many tissues
BTN2A3P	26	very good	Adrenal_Gland:Uterus
BTN1A1	28	very good	many tissues
SLC17A3	26	very good	Kidney:Liver
SLC17A1	26	very good	Kidney:Liver
ABCC10	0	not good	many tissues
OR2B6	28	very good	many tissues
TREM1	25	very good	Blood:Lung:Spleen
KCNK17	26	very good	Lung:Thyroid
OPN5	28	very good	many tissues
EREG	27	very good	Skin
AHNAK	0	not good	many tissues
BBS2	0	not good	many tissues
GPR18	26	very good	Blood:Spleen
SLC10A2	27	very good	Small_Intestine
ABCC4	24	good	Bladder:Colon:Kidney:Lung:Prostate
EFNB2	5	not good	many tissues
TM9SF2	0	not good	many tissues
PTGER2	18	not good	many tissues
KIR2DL1	27	very good	Blood
OPRL1	26	very good	Blood:Brain
NPBWR2	28	very good	many tissues
PSD4	11	not good	many tissues
TNFSF9	28	very good	many tissues
GRIA3	26	very good	Adrenal_Gland:Brain
CD70	28	very good	many tissues
GPR108	0	not good	many tissues
TNFSF14	26	very good	Blood:Liver
VASP	0	not good	many tissues
SYMPK	0	not good	many tissues
SDCBP2	9	not good	many tissues
CD93	3	not good	many tissues
FLRT3	25	very good	Kidney:Lung:Prostate:Stomach
GFRA4	28	very good	many tissues
BFSP1	28	very good	many tissues
LAMP5	26	very good	Brain:Ovary
LRRN4	27	very good	Lung
S1PR4	25	very good	Blood:Lung:Spleen
MMP24	27	very good	Brain
GRPR	27	very good	Pancreas
AMOT	22	good	Brain:Cervix_Uteri:Muscle:Nerve:Pituitary:Salivary_Gland
LRFN3	1	not good	many tissues
IGFLR1	0	not good	many tissues
CAPNS1	0	not good	many tissues
GPR42	28	very good	many tissues
KIRREL2	27	very good	Pancreas
FFAR2	26	very good	Blood:Spleen
HCST	3	not good	many tissues
FFAR1	28	very good	many tissues
CCR7	26	very good	Blood:Spleen
FLRT1	28	very good	many tissues
PCNXL4	0	not good	many tissues
RHOJ	8	not good	many tissues
OMG	26	very good	Brain:Lung
AVPR2	26	very good	Adipose_Tissue:Breast
TSPAN8	11	not good	many tissues
BEST3	27	very good	Muscle
PTPRB	8	not good	many tissues
TAS2R3	28	very good	many tissues
TAS2R4	28	very good	many tissues
TAS2R5	28	very good	many tissues
TRPV5	28	very good	many tissues
FGFRL1	1	not good	many tissues
ADGRE2	25	very good	Blood:Lung:Spleen
OR7A10	28	very good	many tissues
OR7C2	28	very good	many tissues
OR7C1	28	very good	many tissues
F2RL3	24	good	Adipose_Tissue:Breast:Lung:Thyroid
MACF1	0	not good	many tissues
OR1E2	28	very good	many tissues
AAMP	0	not good	many tissues
TNFRSF19	20	not good	many tissues
STEAP4	3	not good	many tissues
GNAI1	3	not good	many tissues
SGCE	1	not good	many tissues
LRFN1	26	very good	Blood:Brain
SRD5A3	2	not good	many tissues
KDR	8	not good	many tissues
ADORA2A	20	not good	many tissues
CDC42EP1	1	not good	many tissues
MCHR1	28	very good	many tissues
GALR3	28	very good	many tissues
IGLL1	28	very good	many tissues
TAS2R16	28	very good	many tissues
CDHR3	21	good	Brain:Colon:Fallopian_Tube:Lung:Ovary:Small_Intestine:Stomach
PODXL	2	not good	many tissues
LRRC4	26	very good	Blood:Brain
SMO	5	not good	many tissues
OPN1SW	28	very good	many tissues
DLL4	10	not good	many tissues
ACKR4	26	very good	Pituitary:Skin
KCNC1	27	very good	Brain
CD68	0	not good	many tissues
ATP1B2	17	not good	many tissues
SLC44A2	0	not good	many tissues
SIGLEC9	24	good	Adrenal_Gland:Blood:Lung:Spleen
ADCY4	0	not good	many tissues
ITFG1	0	not good	many tissues
RHBDF2	0	not good	many tissues
ART1	27	very good	Muscle
CHRNA10	27	very good	Muscle
CDH15	27	very good	Muscle
TMEM8A	0	not good	many tissues
KCNA5	25	very good	Blood_Vessel:Heart:Pituitary
GDPD2	24	good	Pituitary:Skin:Small_Intestine:Spleen
LDLR	1	not good	many tissues
TSPAN16	28	very good	many tissues
PVRL2	0	not good	many tissues
DPP6	23	good	Brain:Colon:Pituitary:Thyroid:Uterus
ACE2	25	very good	Heart:Kidney:Small_Intestine
ATP8B3	26	very good	Adrenal_Gland:Spleen
PLVAP	3	not good	many tissues
BST2	0	not good	many tissues
SLC27A1	0	not good	many tissues
SNX9	1	not good	many tissues
MAS1	28	very good	many tissues
CACNG6	27	very good	Muscle
TRPM4	1	not good	many tissues
OR11H1	28	very good	many tissues
CRB3	16	not good	many tissues
LSP1	2	not good	many tissues
CALY	26	very good	Brain:Pituitary
POMT1	0	not good	many tissues
SMPDL3B	23	good	Pancreas:Salivary_Gland:Small_Intestine:Stomach:Thyroid
SLC6A8	1	not good	many tissues
PLXNA3	0	not good	many tissues
MPP1	0	not good	many tissues
SLC7A10	25	very good	Adipose_Tissue:Brain:Breast
LRP3	0	not good	many tissues
PKDREJ	28	very good	many tissues
PRRG1	23	good	Adipose_Tissue:Brain:Muscle:Nerve:Thyroid
ULBP2	28	very good	many tissues
ULBP3	28	very good	many tissues
LILRB2	24	good	Adipose_Tissue:Blood:Lung:Spleen
GGT7	0	not good	many tissues
EDA2R	25	very good	Adrenal_Gland:Ovary:Uterus
TEX101	28	very good	many tissues
SLC34A1	27	very good	Kidney
PRR7	24	good	Blood:Brain:Nerve:Pituitary
GJA9	28	very good	many tissues
ADGRE3	27	very good	Blood
SLC6A6	2	not good	many tissues
KCNC3	22	good	Brain:Fallopian_Tube:Kidney:Pituitary:Spleen:Thyroid
LRRC4B	20	not good	many tissues
AOC3	3	not good	many tissues
RAMP2	1	not good	many tissues
DIAPH1	0	not good	many tissues
C1orf159	1	not good	many tissues
ANO1	11	not good	many tissues
TMEM204	0	not good	many tissues
KREMEN2	28	very good	many tissues
NINJ1	0	not good	many tissues
IL13RA1	0	not good	many tissues
SLC6A11	27	very good	Brain
NUP210	16	not good	many tissues
HSD17B7	1	not good	many tissues
EFR3A	0	not good	many tissues
RAMP1	1	not good	many tissues
PTPRE	8	not good	many tissues
LANCL2	2	not good	many tissues
ITGB4	4	not good	many tissues
CLEC10A	21	good	Adipose_Tissue:Bladder:Blood:Colon:Lung:Small_Intestine:Spleen
SLC52A1	27	very good	Small_Intestine
DLG4	0	not good	many tissues
PTPRA	0	not good	many tissues
SSTR4	28	very good	many tissues
RHBG	25	very good	Kidney:Ovary:Skin
ATP1A4	28	very good	many tissues
RAB25	15	not good	many tissues
FCRL2	26	very good	Small_Intestine:Spleen
SERINC3	0	not good	many tissues
INADL	4	not good	many tissues
SYT4	26	very good	Brain:Pituitary
SLC14A2	28	very good	many tissues
NMUR2	28	very good	many tissues
ATP8A2	26	very good	Brain:Pituitary
GPR12	27	very good	Brain
CHRM3	22	good	Bladder:Colon:Esophagus:Pancreas:Salivary_Gland:Stomach
SLC41A1	2	not good	many tissues
LGR6	23	good	Blood_Vessel:Fallopian_Tube:Pituitary:Spleen:Thyroid
RXFP2	28	very good	many tissues
TRPC4	27	very good	Uterus
STOML3	28	very good	many tissues
KL	27	very good	Kidney
RNF128	18	not good	many tissues
EPHB2	26	very good	Ovary:Small_Intestine
SLC2A11	0	not good	many tissues
ATP13A3	0	not good	many tissues
LYVE1	4	not good	many tissues
ADAM20	28	very good	many tissues
CD180	27	very good	Spleen
CNTN6	28	very good	many tissues
CHL1	17	not good	many tissues
TRPM1	28	very good	many tissues
TSPAN2	19	not good	many tissues
SYT6	28	very good	many tissues
PTPN22	25	very good	Blood:Small_Intestine:Spleen
SORT1	2	not good	many tissues
PTGFRN	2	not good	many tissues
ADAM30	28	very good	many tissues
NOTCH2	1	not good	many tissues
CD101	26	very good	Blood:Spleen
VTCN1	24	good	Breast:Kidney:Pancreas:Salivary_Gland
SLC38A2	0	not good	many tissues
ANO3	28	very good	many tissues
IL6ST	0	not good	many tissues
CRB1	27	very good	Brain
IL2RA	27	very good	Spleen
IL15RA	2	not good	many tissues
HRH4	28	very good	many tissues
EMP1	1	not good	many tissues
SLCO1B1	27	very good	Liver
KLRD1	26	very good	Blood:Spleen
KLRC1	28	very good	many tissues
LRP4	15	not good	many tissues
MTNR1B	28	very good	many tissues
DSC2	20	not good	many tissues
DSG3	26	very good	Skin:Vagina
DSG1	26	very good	Skin:Vagina
DSC3	25	very good	Salivary_Gland:Skin:Vagina
DSC1	27	very good	Skin
DAGLA	26	very good	Brain:Pancreas
SLC43A3	0	not good	many tissues
GIF	27	very good	Stomach
APLNR	22	good	Adipose_Tissue:Brain:Heart:Liver:Spleen:Thyroid
C5AR2	25	very good	Blood:Lung:Spleen
PDGFRA	2	not good	many tissues
CLDN10	22	good	Brain:Fallopian_Tube:Kidney:Pancreas:Salivary_Gland:Skin
STT3A	0	not good	many tissues
ANXA1	0	not good	many tissues
TMEM2	0	not good	many tissues
GOLM1	1	not good	many tissues
ADAM19	17	not good	many tissues
HAVCR2	22	good	Adipose_Tissue:Adrenal_Gland:Blood:Kidney:Lung:Spleen
P2RX4	1	not good	many tissues
CD36	6	not good	many tissues
ADGRB3	26	very good	Brain:Pituitary
HTR1B	27	very good	Blood_Vessel
NT5E	6	not good	many tissues
MRAP2	24	good	Blood_Vessel:Brain:Salivary_Gland:Spleen
EPHA7	25	very good	Bladder:Colon:Esophagus
GJA10	28	very good	many tissues
CD63	0	not good	many tissues
AMHR2	24	good	Adrenal_Gland:Ovary:Pancreas:Spleen
ITGA7	0	not good	many tissues
TSPAN31	0	not good	many tissues
FAIM2	19	not good	many tissues
ACVR1B	0	not good	many tissues
MIP	28	very good	many tissues
KCNH3	25	very good	Blood:Brain:Pituitary
CD164	0	not good	many tissues
TAAR5	28	very good	many tissues
NMBR	28	very good	many tissues
REPS1	0	not good	many tissues
TEC	27	very good	Skin
SEMA4F	25	very good	Brain:Ovary:Pituitary
DYSF	10	not good	many tissues
KCNMB4	24	good	Adrenal_Gland:Brain:Lung:Nerve
CPM	6	not good	many tissues
PCNXL2	10	not good	many tissues
KCNK1	14	not good	many tissues
STX6	3	not good	many tissues
GPR55	28	very good	many tissues
CHRND	27	very good	Muscle
HTR2B	26	very good	Adrenal_Gland:Uterus
ITM2C	0	not good	many tissues
SLC19A3	24	good	Adipose_Tissue:Breast:Liver:Lung
TMEM127	0	not good	many tissues
EDAR	28	very good	many tissues
GPR45	28	very good	many tissues
STAB2	26	very good	Liver:Spleen
CKAP4	0	not good	many tissues
PLXNC1	21	good	Blood:Brain:Cervix_Uteri:Lung:Ovary:Pituitary:Spleen
SLC41A2	19	not good	many tissues
PCDH8	27	very good	Brain
SCEL	25	very good	Lung:Skin:Vagina
ITM2B	0	not good	many tissues
EDNRB	3	not good	many tissues
LCP1	5	not good	many tissues
GPNMB	1	not good	many tissues
RAC1	0	not good	many tissues
ZDHHC4	0	not good	many tissues
MYO1G	24	good	Blood:Lung:Small_Intestine:Spleen
TTYH3	1	not good	many tissues
TM6SF1	20	not good	many tissues
SCN2A	27	very good	Brain
SCN7A	20	not good	many tissues
BLK	25	very good	Blood:Small_Intestine:Spleen
CFC1	25	very good	Pancreas:Pituitary:Stomach
GYPC	0	not good	many tissues
GAD2	27	very good	Brain
ABI1	0	not good	many tissues
LRRC8A	0	not good	many tissues
OR1J1	28	very good	many tissues
OR13C9	28	very good	many tissues
DAB2IP	1	not good	many tissues
SLC2A8	1	not good	many tissues
SLC31A2	3	not good	many tissues
SLC31A1	4	not good	many tissues
TLR4	17	not good	many tissues
GABBR2	27	very good	Brain
OR1L4	28	very good	many tissues
IL11RA	0	not good	many tissues
TLN1	0	not good	many tissues
SIT1	25	very good	Blood:Small_Intestine:Spleen
CD72	23	good	Adipose_Tissue:Blood:Lung:Small_Intestine:Spleen
TMEM8B	1	not good	many tissues
SLC22A7	26	very good	Kidney:Liver
YIPF3	0	not good	many tissues
TMEM63B	0	not good	many tissues
HCRTR2	28	very good	many tissues
KIAA0319	27	very good	Brain
SLC22A23	6	not good	many tissues
RIPK1	0	not good	many tissues
FLOT1	0	not good	many tissues
TLR2	18	not good	many tissues
FCHSD2	0	not good	many tissues
SLCO2B1	2	not good	many tissues
SYTL2	2	not good	many tissues
LRRC32	1	not good	many tissues
SLCO5A1	28	very good	many tissues
SULF1	9	not good	many tissues
SDCBP	0	not good	many tissues
SORL1	10	not good	many tissues
TRPC6	26	very good	Lung:Thyroid
RDX	1	not good	many tissues
THBS1	1	not good	many tissues
ITGA11	22	good	Blood_Vessel:Cervix_Uteri:Fallopian_Tube:Heart:Uterus:Vagina
ADAM10	0	not good	many tissues
DUOX1	18	not good	many tissues
SLC28A2	27	very good	Small_Intestine
STRA6	24	good	Cervix_Uteri:Fallopian_Tube:Pituitary:Prostate:Vagina
SEMA6D	16	not good	many tissues
SLC44A5	28	very good	many tissues
CLCA2	26	very good	Skin:Vagina
ADCY3	0	not good	many tissues
LHCGR	28	very good	many tissues
SLC5A6	0	not good	many tissues
ABCG5	27	very good	Liver
SLC3A1	25	very good	Kidney:Pancreas:Small_Intestine
ATRAID	0	not good	many tissues
MYOF	3	not good	many tissues
STAMBPL1	21	good	Adrenal_Gland:Brain:Colon:Ovary:Pituitary:Small_Intestine:Spleen
CALHM2	1	not good	many tissues
ENTPD1	6	not good	many tissues
GPR87	25	very good	Salivary_Gland:Skin:Vagina
CHRNA1	27	very good	Muscle
ITGAV	1	not good	many tissues
SLC40A1	0	not good	many tissues
SLC35A5	0	not good	many tissues
USP8	0	not good	many tissues
SPPL2A	1	not good	many tissues
HCN4	28	very good	many tissues
SEMA7A	20	not good	many tissues
PCDH10	26	very good	Blood_Vessel:Brain:Prostate
BMPR1B	25	very good	Brain:Nerve:Ovary:Prostate
TRPC3	27	very good	Pituitary
FRAS1	27	very good	Thyroid
SCARB2	0	not good	many tissues
ENPEP	18	not good	many tissues
EGF	25	very good	Kidney:Muscle:Pancreas
SLC39A8	11	not good	many tissues
KIAA1644	23	good	Bladder:Brain:Cervix_Uteri:Colon:Uterus
SLCO1C1	27	very good	Brain
ETNK1	0	not good	many tissues
TMEM117	23	good	Bladder:Esophagus:Nerve:Skin:Vagina
CLSTN3	1	not good	many tissues
KLRG1	26	very good	Blood:Spleen
TAPBPL	0	not good	many tissues
CD27	24	good	Blood:Salivary_Gland:Small_Intestine:Spleen
PIANP	22	good	Brain:Cervix_Uteri:Fallopian_Tube:Pituitary:Prostate:Uterus:Vagina
SLC38A4	26	very good	Liver:Muscle
AMIGO2	13	not good	many tissues
LRIG3	4	not good	many tissues
GLIPR1	7	not good	many tissues
LGR5	27	very good	Muscle
PTPRQ	28	very good	many tissues
TMEM132B	26	very good	Brain:Nerve
SLC15A4	0	not good	many tissues
TCHP	0	not good	many tissues
SLC46A3	2	not good	many tissues
SLC7A1	7	not good	many tissues
SLC39A5	24	good	Kidney:Liver:Pancreas:Small_Intestine
ACVRL1	3	not good	many tissues
GPR84	27	very good	Blood
MAP3K12	1	not good	many tissues
ITGB7	22	good	Blood:Kidney:Nerve:Skin:Small_Intestine:Spleen
LMBR1L	0	not good	many tissues
ESYT1	0	not good	many tissues
LPAR6	0	not good	many tissues
SSTR1	27	very good	Stomach
CDH24	12	not good	many tissues
MDGA2	28	very good	many tissues
C14orf37	28	very good	many tissues
SLC38A6	6	not good	many tissues
ADAM21	28	very good	many tissues
KCNH5	28	very good	many tissues
GPR65	26	very good	Blood:Spleen
SLC24A4	26	very good	Blood:Nerve
SLC12A6	1	not good	many tissues
DUOXA1	21	good	Bladder:Lung:Prostate:Salivary_Gland:Skin:Stomach:Thyroid:Vagina
DUOX2	23	good	Bladder:Skin:Stomach:Thyroid:Vagina
DISP2	25	very good	Brain:Pituitary:Thyroid
TSPAN3	0	not good	many tissues
IGF1R	2	not good	many tissues
RHCG	23	good	Esophagus:Kidney:Salivary_Gland:Skin:Vagina
ABHD2	0	not good	many tissues
NTRK3	15	not good	many tissues
MFGE8	0	not good	many tissues
MCTP2	15	not good	many tissues
FURIN	0	not good	many tissues
IQGAP1	0	not good	many tissues
SLC5A2	27	very good	Kidney
ITGAX	15	not good	many tissues
IGSF6	25	very good	Blood:Lung:Spleen
CDH11	5	not good	many tissues
CDH13	11	not good	many tissues
DPEP3	28	very good	many tissues
OR4D1	28	very good	many tissues
SKAP1	20	not good	many tissues
ABCA8	3	not good	many tissues
CLTC	0	not good	many tissues
SLC39A6	0	not good	many tissues
MEP1B	27	very good	Small_Intestine
SLC14A1	23	good	Bladder:Blood:Blood_Vessel:Brain:Heart:Prostate
SLC13A5	27	very good	Liver
ASGR1	24	good	Blood:Brain:Liver:Thyroid
SLC16A3	1	not good	many tissues
TTYH2	10	not good	many tissues
SECTM1	9	not good	many tissues
TNFRSF11A	25	very good	Pituitary:Salivary_Gland:Small_Intestine
ERBB2	1	not good	many tissues
GRB7	14	not good	many tissues
CACNA1A	25	very good	Brain:Nerve:Pituitary
PPAP2C	9	not good	many tissues
IFITM3	0	not good	many tissues
OR1E3	28	very good	many tissues
IFNAR1	0	not good	many tissues
COL6A2	0	not good	many tissues
TRPM2	24	good	Blood:Brain:Small_Intestine:Spleen
APP	0	not good	many tissues
EMP3	0	not good	many tissues
SLC6A3	28	very good	many tissues
CACNG8	27	very good	Brain
TM4SF5	24	good	Kidney:Liver:Small_Intestine:Stomach
SLC47A1	15	not good	many tissues
GPR32	28	very good	many tissues
SIGLEC10	23	good	Adrenal_Gland:Blood:Lung:Small_Intestine:Spleen
ACPT	28	very good	many tissues
IGLON5	27	very good	Brain
SLC2A5	26	very good	Muscle:Prostate:Small_Intestine
EPHA2	3	not good	many tissues
IL22RA1	25	very good	Pancreas:Skin:Small_Intestine
KIAA0319L	0	not good	many tissues
SYTL1	14	not good	many tissues
PTPRF	4	not good	many tissues
BEST4	27	very good	Small_Intestine
